UUID,Title,Mapped First Author,Year,Environment Type (learning or training),Mapped Data Collection Mediums,Mapped Modalities,Mapped Analysis Methods,Mapped Fusion Types,Mapped Publication Acronym,Mapped Full Publication,Full-Read 2 by Researcher,Reviewer Number,Sort Number
1770989706,focused or stuck together: multimodal patterns reveal triads' performance in collaborative problem solving,Hana Vrzakova,2020,Learning,"AUDIO,VIDEO,SCREEN,SURVEY,PPA","PROS,ACT,GEST,PPA","STATS,PATT",MID,LAK,International Conference on Learning Analytics & Knowledge,Clayton,1,1
1770989706,focused or stuck together: multimodal patterns reveal triads' performance in collaborative problem solving,Hana Vrzakova,2020,Learning,"AUDIO,VIDEO,SCREEN,SURVEY,PPA","PROS,ACT,GEST,PPA","STATS,PATT",MID,LAK,International Conference on Learning Analytics & Knowledge,Caleb,2,1
1770989706,focused or stuck together: multimodal patterns reveal triads' performance in collaborative problem solving,Hana Vrzakova,2020,Learning,"AUDIO,VIDEO,SCREEN,SURVEY,PPA","PROS,ACT,GEST,PPA","STATS,PATT",MID,LAK,International Conference on Learning Analytics & Knowledge,Caleb/Clayton,3,1
2456887548,an unobtrusive and multimodal approach for behavioral engagement detection of students,Nese Alyuz,2017,Learning,"LOGS,VIDEO,SCREEN,PPA","AFFECT,POSE,LOGS,PPA,ACT",CLS,HYBRID,MIE,International Workshop on Multimodal Interaction for Education,Clayton,1,2
2456887548,an unobtrusive and multimodal approach for behavioral engagement detection of students,Nese Alyuz,2017,Learning,"LOGS,VIDEO,SCREEN,PPA","AFFECT,POSE,LOGS,PPA",CLS,HYBRID,MIE,International Workshop on Multimodal Interaction for Education,Caleb,2,2
2456887548,an unobtrusive and multimodal approach for behavioral engagement detection of students,Nese Alyuz,2017,Learning,"LOGS,VIDEO,SCREEN,PPA","AFFECT,POSE,LOGS,PPA",CLS,HYBRID,MIE,International Workshop on Multimodal Interaction for Education,Caleb/Clayton,3,2
1326191931,multimodal learning analytics in a laboratory classroom,Man Ching Esther Chan,2020,Learning,"VIDEO,AUDIO,SURVEY","POSE,GAZE",CLS,LATE,MLPALA,Machine Learning Paradigms: Advances in Learning Analytics,Eduardo,1,3
1326191931,multimodal learning analytics in a laboratory classroom,Man Ching Esther Chan,2020,Learning,"VIDEO,AUDIO","POSE,GAZE,PROS","CLS,CLUST",LATE,MLPALA,Machine Learning Paradigms: Advances in Learning Analytics,Joyce,2,3
1326191931,multimodal learning analytics in a laboratory classroom,Man Ching Esther Chan,2020,Learning,"VIDEO,AUDIO","POSE,GAZE,PROS","CLS,CLUST",LATE,MLPALA,Machine Learning Paradigms: Advances in Learning Analytics,Joyce/Eduardo,3,3
1469065963,examining socially shared regulation and shared physiological arousal events with multimodal learning analytics,Andy Nguyen,2022,Learning,"VIDEO,AUDIO,SENSOR","QUAL,EDA","PATT,CLS",HYBRID,BJET,British Journal of Educational Technology,Eduardo,1,4
