UUID,Title,Mapped First Author,Year,Environment Type (learning or training),Mapped Data Collection Mediums,Mapped Modalities,Mapped Analysis Methods,Mapped Fusion Types,Mapped Publication Acronym,Mapped Full Publication,Full-Read 2 by Researcher,Reviewer Number,Sort Number
1770989706,focused or stuck together: multimodal patterns reveal triads' performance in collaborative problem solving,Hana Vrzakova,2020,Learning,"AUDIO,VIDEO,SCREEN,SURVEY,PPA","PROS,ACT,GEST,PPA","STATS,PATT",MID,LAK,International Conference on Learning Analytics & Knowledge,Caleb/Clayton,3,1
2456887548,an unobtrusive and multimodal approach for behavioral engagement detection of students,Nese Alyuz,2017,Learning,"LOGS,VIDEO,SCREEN,PPA","AFFECT,POSE,LOGS,PPA",CLS,HYBRID,MIE,International Workshop on Multimodal Interaction for Education,Caleb/Clayton,3,2
1326191931,multimodal learning analytics in a laboratory classroom,Man Ching Esther Chan,2019,Learning,"VIDEO,AUDIO","POSE,GAZE,PROS","CLS,CLUST",LATE,MLPALA,Machine Learning Paradigms: Advances in Learning Analytics,Joyce/Eduardo,3,3
1469065963,examining socially shared regulation and shared physiological arousal events with multimodal learning analytics,Andy Nguyen,2022,Learning,"VIDEO,AUDIO,SENSOR","QUAL,EDA","PATT,CLS,CLUST",HYBRID,BJET,British Journal of Educational Technology,Joyce/Eduardo,3,4
1598166515,multimodal learning analytics for game-based learning,Andrew Emerson,2020,Learning,"VIDEO,LOGS,EYE","AFFECT,GAZE,LOGS,PPA","CLS,STATS",MID,BJET,British Journal of Educational Technology,Joyce/Eduardo,3,5
1877483551,motion-based educational games: using multi-modal data to predict player’s performance,Serena Lee-Cultura,2020,Learning,"VIDEO,EYE,SENSOR","PULSE,TEMP,EDA,GAZE,POSE",CLS,MID,COG,IEEE Conference on Games,Joyce/Eduardo,3,6
2000036002,predicting learners’ effortful behaviour in adaptive assessment using multimodal data,Kshitij Sharma,2020,Learning,"VIDEO,EYE,SENSOR","EDA,TEMP,PULSE,EEG,GAZE,AFFECT","CLUST,CLS,PATT",MID,LAK,International Conference on Learning Analytics & Knowledge,Eduardo/Joyce,3,7
518268671,using multimodal learning analytics to explore collaboration in a sustainability co-located tabletop game,María Ximena López,2021,Learning,"SURVEY,LOGS,AUDIO,VIDEO","LOGS,SURVEY,GAZE,PROS",STATS,OTH,ECGBL,European Conference on Games Based Learning,Caleb/Clayton,3,8
957160695,virtual debate coach design: assessing multimodal argumentation performance,Volha Petukhova,2017,Training,"VIDEO,AUDIO","GEST,TRANS,PROS,SURVEY,GAZE","STATS,CLS,QUAL",MID,ICMI,International Conference on Multimodal Interaction,Caleb/Clayton,3,9
3009548670,real-time multimodal feedback with the cpr tutor,Daniele Di Mitri,2020,Training,"LOGS,VIDEO,SENSOR,MOTION","POSE,EMG,GEST",CLS,HYBRID,AIED,International Conference on Artificial Intelligence in Education,Caleb/Clayton,3,10
2070224207,detecting medical simulation errors with machine learning and multimodal data,Daniele Di Mitri,2019,Training,"VIDEO,MOTION,LOGS","POSE,LOGS",CLS,MID,CAIM,Conference on Artificial Intelligence in Medicine,Eduardo/Joyce,3,11
2634033325,controlled evaluation of a multimodal system to improve oral presentation skills in a real learning setting,Xavier Ochoa,2020,Training,"VIDEO,AUDIO,PPA","POSE,PROS,PPA",STATS,OTH,BJET,British Journal of Educational Technology,Eduardo/Joyce,3,12
