UUID,Title,First Author,Year,Environment Type,Data Collection Mediums,Modalities,Analysis Methods,Fusion Types,Publication,Environment Setting,Environment Subject,Participant Structure,Didactic Nature,Level of Instruction or Training,Analysis Approach
818492192,understanding student learning trajectories using multimodal learning analytics within an embodied-interaction learning environment,Alejandro Andrade,2017,Learning,"VIDEO,LOGS,INTER,PPA","GAZE,LOGS,INTER,PPA,GEST","CLUST,QUAL",HYBRID,LAK,BLND,STEM,IND,INSTR,K12,MB
3408664396,multimodal student engagement recognition in prosocial games,Athanasios Psaltis,2017,Learning,"VIDEO,LOGS","POSE,AFFECT,LOGS",CLS,LATE,T-CIAIG,BLND,HUM,IND,INF,K12,MB
1118315889,using multimodal learning analytics to identify aspects of collaboration in project-based learning,Daniel Spikol,2017,Learning,"VIDEO,AUDIO,LOGS","POSE,PROS",REG,MID,CSCL,PHYS,STEM,MULTI,INSTR,UNI,MB
3339002981,estimation of success in collaborative learning based on multimodal learning analytics features,Daniel Spikol,2017,Learning,"EYE,LOGS,VIDEO,AUDIO","GAZE,LOGS,PROS,POSE",CLS,MID,ICALT,VIRT,STEM,MULTI,INSTR,UNI,MB
1609706685,learning pulse: a machine learning approach for predicting performance in self-regulated learning using multimodal data,Daniele Di Mitri,2017,Training,"SENSOR,LOGS,MOTION,PPA","PULSE,ACT,AFFECT",REG,MID,LAK,BLND,UNSP,IND,UNSP,UNI,MB
3093310941,embodied conversational agents for multimodal automated social skills training in people with autism spectrum disorders,Hiroki Tanaka,2017,Training,"AUDIO,VIDEO,PPA","POSE,PROS,AFFECT","REG,STATS",MID,PLOS,VIRT,HUM,IND,TRAIN,"K12, UNI",MF
3095923626,a multimodal analysis of making,Marcelo Worsley,2017,Learning,"VIDEO,AUDIO,SENSOR,PPA,INTER","GEST,PPA,EDA,ACT,PROS,QUAL,INTER","STATS,CLUST,QUAL,PATT",EARLY,IJAIED,PHYS,STEM,MULTI,INF,"K12, UNI",MB
2456887548,an unobtrusive and multimodal approach for behavioral engagement detection of students,Nese Alyuz,2017,Learning,"LOGS,VIDEO,SCREEN,PPA","AFFECT,POSE,LOGS,PPA",CLS,HYBRID,MIE,VIRT,STEM,IND,INSTR,K12,MB
1374035721,attentivelearner2: a multimodal approach for improving mooc learning on mobile devices,Phuong Pham,2017,Learning,"VIDEO,SURVEY","PULSE,AFFECT,SURVEY",CLS,MID,AIED,VIRT,STEM,IND,INSTR,UNSP,MB
85990093,multimodal markers of persuasive speech : designing a virtual debate coach,Volha Petukhova,2017,Training,"VIDEO,AUDIO","PROS,GEST","CLS,QUAL,STATS",MID,INTERSPEECH,PHYS,HUM,MULTI,TRAIN,K12,MB
957160695,virtual debate coach design: assessing multimodal argumentation performance,Volha Petukhova,2017,Training,"VIDEO,AUDIO","GEST,TRANS,PROS,SURVEY,GAZE","STATS,CLS,QUAL",MID,ICMI,PHYS,HUM,MULTI,TRAIN,K12,MB
1637690235,supervised machine learning in multimodal learning analytics for estimating success in project-based learning,Daniel Spikol,2018,Learning,"VIDEO,AUDIO,LOGS,PPA,RPA","POSE,GEST,PROS,LOGS,PPA,RPA","REG,CLS",MID,JCAL,BLND,STEM,MULTI,INSTR,UNI,MB
1886134458,personalizing computer science education by leveraging multimodal learning analytics,David Azcona,2018,Learning,"LOGS,PPA","LOGS,PPA","CLS,STATS",MID,FIE,VIRT,STEM,IND,INSTR,UNI,MB
2181637610,toward using multi-modal learning analytics to support and measure collaboration in co-located dyads,Emma L. Starr,2018,Learning,"VIDEO,AUDIO,PPA,RPA,LOGS","POSE,PROS,PPA,RPA,LOGS","STATS,QUAL",OTH,ICLS,BLND,STEM,MULTI,INF,UNI,MF
